Attack Rate,Model,PR-AUC,ROC-AUC
0.01,Isolation Forest,1.0,1.0
0.01,One-Class SVM,0.9704861111111112,0.9996843434343434
0.01,LOF,1.0,1.0
0.01,BSAD (Bayesian),1.0,1.0
0.02,Isolation Forest,0.9680765086206897,0.9988839285714286
0.02,One-Class SVM,0.9221158896250808,0.9602997448979592
0.02,LOF,0.9337125548063048,0.9988042091836735
0.02,BSAD (Bayesian),0.9862253289473684,0.9996811224489797
0.05,Isolation Forest,0.991323591167931,0.9995723684210526
0.05,One-Class SVM,0.987304723568111,0.9994078947368421
0.05,LOF,0.2740281655661908,0.7925328947368422
0.05,BSAD (Bayesian),0.999390243902439,0.9999671052631579
0.1,Isolation Forest,0.936058234504999,0.9920833333333334
0.1,One-Class SVM,0.9874662491135445,0.9988020833333333
0.1,LOF,0.2989265800987459,0.6588194444444445
0.1,BSAD (Bayesian),0.9989111208503889,0.9998784722222223
0.2,Isolation Forest,0.7758978207414228,0.941005859375
0.2,One-Class SVM,0.9959518460765642,0.999248046875
0.2,LOF,0.3922682421616262,0.622158203125
0.2,BSAD (Bayesian),0.9995676844194835,0.9998925781250001
0.3,Isolation Forest,0.7021294528990581,0.8700074404761905
0.3,One-Class SVM,0.7743852967125433,0.8546875
0.3,LOF,0.425084506025189,0.59875
0.3,BSAD (Bayesian),0.9997756363700517,0.9999032738095237
