Attack Rate,Model,PR-AUC,ROC-AUC,Recall@100,Recall@200
1%,Isolation Forest,0.015414508942764743,0.6288929292929293,0.01,0.02
1%,One-Class SVM,0.022384684923680533,0.6896792929292929,0.0,0.0
1%,LOF,0.1942429137500055,0.7977454545454545,0.19,0.23
1%,BSAD (Bayesian),0.027669706001900198,0.30046313131313135,0.02,0.02
2%,Isolation Forest,0.03812631734361228,0.6240755102040816,0.01,0.025
2%,One-Class SVM,0.0821931788492452,0.7353155612244897,0.055,0.095
2%,LOF,0.05558097147739853,0.6752543367346939,0.035,0.055
2%,BSAD (Bayesian),0.02480775406228957,0.29157729591836734,0.01,0.025
5%,Isolation Forest,0.07333964939046089,0.6053805263157894,0.006,0.016
5%,One-Class SVM,0.1347175162476584,0.7153026315789475,0.038,0.058
5%,LOF,0.07817338034262042,0.6014751578947368,0.024,0.038
5%,BSAD (Bayesian),0.0441679592246678,0.3109456842105263,0.008,0.008
